MS,MS Name,CCI,Ver,Title,Fund,Priority,TO_code,To short,TO long,Category of region,EAFRD Measure code,Measure short description,EAFRD Focus Area code,Focus area short description,EU Amount,National Amount,Total Amount,EU co-financing
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3A,Competitiveness of producers,5347177,5315454.18,10662631.18,50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_3B,Risk management,204350,203137.86,407487.86,50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3A,Competitiveness of producers,10487783,10433335.89,20921118.89,50.13%
CZ,Czech Republic,2014CZ14MFOP001,2,Maritime and Fisheries - Czech Republic,EMFF,,TA,Technical Assistance,Technical Assistance,VOID,VOID,VOID,VOID,VOID,1707300,569100,2276400,75%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_3B,Risk management,757506,753573.44,1511079.44,50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M03,Quality schemes,FA_3A,Competitiveness of producers,66487287,66512713.95,133000000.95,49.99%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M04,Physical Investment,FA_3A,Competitiveness of producers,52462402,52493178.34,104955580.34,49.99%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P3,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,M14,Animal welfare,FA_3A,Competitiveness of producers,118765529,121234471.41,240000000.41,49.49%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_P4,Priority 4,2130257,2069741.55,4199998.55,50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_P4,Priority 4,11606722,11537864.04,23144586.04,50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_P4,Priority 4,10779662,10723699.69,21503361.69,50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M04,Physical Investment,FA_P4,Priority 4,4568774.5,4559225.66,9128000.16,50.05%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M07,Basic services,FA_P4,Priority 4,43222282,42628468.5,85850750.5,50.35%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M08,Forest,FA_P4,Priority 4,24481208,24375040.6,48856248.6,50.11%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M10,Agri-environment-climate,FA_P4,Priority 4,527457884,515234113.63,1042691997.63,50.59%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M11,Organic Farming,FA_P4,Priority 4,200351066.5,191648933.06,391999999.56,51.11%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,899839,850161.33,1750000.33,51.42%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M13,Areas with natural constraints,FA_P4,Priority 4,437181442.5,444818557.03,881999999.53,49.57%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,5,Climate Change Adaptation & Risk Prevention,"Promoting climate change adaptation, risk prevention and management",VOID,M15,Forest-environment,FA_P4,Priority 4,1756172.5,1743828.01,3500000.51,50.18%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_P4,Priority 4,4568774.5,4559225.66,9128000.16,50.05%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M07,Basic services,FA_P4,Priority 4,43222282,42628468.5,85850750.5,50.35%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M08,Forest,FA_P4,Priority 4,24481208,24375040.6,48856248.6,50.11%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M10,Agri-environment-climate,FA_P4,Priority 4,527457884,515234113.63,1042691997.63,50.59%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M11,Organic Farming,FA_P4,Priority 4,200351066.5,191648933.06,391999999.56,51.11%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M12,NAT 2000 & WFD,FA_P4,Priority 4,899839,850161.33,1750000.33,51.42%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M13,Areas with natural constraints,FA_P4,Priority 4,437181442.5,444818557.03,881999999.53,49.57%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M15,Forest-environment,FA_P4,Priority 4,1756172.5,1743828.01,3500000.51,50.18%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5A,Water efficiency,106513,103487.19,210000.19,50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5B,Energy efficiency,532565,517435.94,1050000.94,50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5C,Renewable energy,745590,724409.72,1469999.72,50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5D,Reducing GHG and NH3,213026,206974.37,420000.37,50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_5E,Carbon conservation / sequestration,319539,310461.56,630000.56,50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5A,Water efficiency,442766,440139.08,882905.08,50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5B,Energy efficiency,442766,440139.08,882905.08,50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5C,Renewable energy,442766,440139.08,882905.08,50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5D,Reducing GHG and NH3,442766,440139.08,882905.08,50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_5E,Carbon conservation / sequestration,442766,440139.08,882905.08,50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5A,Water efficiency,302099,300530.59,602629.59,50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5B,Energy efficiency,1545394,1537371.13,3082765.13,50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5C,Renewable energy,3972128,3951506.97,7923634.97,50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5D,Reducing GHG and NH3,322392,320718.14,643110.14,50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_5E,Carbon conservation / sequestration,1413866,1406525.89,2820391.89,50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M04,Physical Investment,FA_5C,Renewable energy,19030225,19084776.01,38115001.01,49.93%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M06,Farm and business development,FA_5C,Renewable energy,15933200,15843299.7,31776499.7,50.14%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M07,Basic services,FA_5C,Renewable energy,52534380,53165620.41,105700000.41,49.7%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M08,Forest,FA_5C,Renewable energy,7596148,7412252.57,15008400.57,50.61%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,VOID,M10,Agri-environment-climate,FA_5D,Reducing GHG and NH3,10167819,9932180.89,20099999.89,50.59%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P5,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,VOID,M04,Physical Investment,FA_5A,Water efficiency,9882464,9728786.25,19611250.25,50.39%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M02,Advisory services,FA_6A,"Diversification, SMEs and job creation",2686966,2610635.52,5297601.52,50.72%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6A,"Diversification, SMEs and job creation",34210769,34007809.89,68218578.89,50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,1,Research & Innovation,"Strengthening research, technological development and innovation",VOID,M16,Cooperation,FA_6B,Local development,204350,203137.86,407487.86,50.15%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_6A,"Diversification, SMEs and job creation",6594566,6560330.49,13154896.49,50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",VOID,M01,Knowledge,FA_6C,ICT,550542,547683.73,1098225.73,50.13%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,2,Information & Communication Technologies,Enhancing access to and use and quality of information and communication technologies (ICT),VOID,M07,Basic services,FA_6C,ICT,26459915,26740085.18,53200000.18,49.74%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,M06,Farm and business development,FA_6A,"Diversification, SMEs and job creation",25590301,24989798.05,50580099.05,50.59%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M07,Basic services,FA_6B,Local development,208538482,206464129.21,415002611.21,50.25%
AT,Austria,2014AT06RDNP001,2.1,Austria - National Rural Development,EAFRD,P6,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",VOID,M19,LEADER and CLLD,FA_6B,Local development,196963200,49240800,246204000,80%
AT,Austria,2014AT14MFOP001,1.3,Maritime and Fisheries - Austria,EMFF,,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),VOID,VOID,VOID,VOID,VOID,6738500,6691500,13430000,50.17%
AT,Austria,2014AT14MFOP001,1.3,Maritime and Fisheries - Austria,EMFF,,TA,Technical Assistance,Technical Assistance,VOID,VOID,VOID,VOID,VOID,226500,273500,500000,45.3%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.1,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,186418318,435634895,622053213,29.97%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.1,1,Research & Innovation,"Strengthening research, technological development and innovation",Transition,VOID,VOID,VOID,VOID,12016920,19303552,31320472,38.37%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),More developed,VOID,VOID,VOID,VOID,139207301,634719514,773926815,17.99%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.2,3,Competitiveness of SMEs,Enhancing the competitiveness of small and medium-sized enterprises (SMEs),Transition,VOID,VOID,VOID,VOID,25525132,109100528,134625660,18.96%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.3,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,102870771,238829776,341700547,30.11%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.3,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,Transition,VOID,VOID,VOID,VOID,6635396,27740690,34376086,19.3%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.4,1,Research & Innovation,"Strengthening research, technological development and innovation",More developed,VOID,VOID,VOID,VOID,7800000,7800000,15600000,50%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.4,4,Low-Carbon Economy,Supporting the shift towards a low-carbon economy in all sectors,More developed,VOID,VOID,VOID,VOID,8650000,8650000,17300000,50%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.4,6,Environment Protection & Resource Efficiency,Preserving and protecting the environment and promoting resource efficiency,More developed,VOID,VOID,VOID,VOID,4850000,4850000,9700000,50%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.4,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,5893940,5893940,11787880,50%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.5,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,10000000,10400000,20400000,49.02%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,A.5,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,5543700,5543700,11087400,50%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,B.1,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,18030764,18030764,36061528,50%
AT,Austria,2014AT16RFOP001,1.2,Investments in Growth and Employment - ERDF,ERDF,B.1,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,2819837,2819837,5639674,50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,2906037,2906037,5812074,50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,41060474,41060474,82120948,50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,59400071,59400071,118800142,50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,152709755,152709755,305419510,50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,3,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,112938157,112938157,225876314,50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,3,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,120243902,120243902,240487804,50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,16057053,16057053,32114106,50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,17412506,17412506,34825012,50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,AT,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,6404143,6404143,12808286,50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,ESF,AT,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,12024390,12024390,24048780,50%
BE,Belgium,2014BE05M9OP001,1.4,Wallonie-Bruxelles 2020.eu - ESF/YEI,YEI,4,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,73127920,36563960,109691880,66.67%
BE,Belgium,2014BE05M9OP002,1.3,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,3560543,3560543,7121086,50%
BE,Belgium,2014BE05M9OP002,1.3,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,2,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,21576199,21576199,43152398,50%
BE,Belgium,2014BE05M9OP002,1.3,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,3,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",More developed,VOID,VOID,VOID,VOID,13127105,13127105,26254210,50%
BE,Belgium,2014BE05M9OP002,1.3,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,ESF,4,TA,Technical Assistance,Technical Assistance,More developed,VOID,VOID,VOID,VOID,1961271,1961271,3922542,50%
BE,Belgium,2014BE05M9OP002,1.3,Brussels-Capital Region : Investment for growth and jobs - ESF/YEI,YEI,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,VOID,VOID,VOID,VOID,VOID,11742220,5871110,17613330,66.67%
BE,Belgium,2014BE05SFOP001,1.3,German Speaking Community of Belgium - ESF,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,Transition,VOID,VOID,VOID,VOID,3300000,3300000,6600000,50%
BE,Belgium,2014BE05SFOP001,1.3,German Speaking Community of Belgium - ESF,ESF,2,9,Social Inclusion,"Promoting social inclusion, combating poverty and any discrimination",Transition,VOID,VOID,VOID,VOID,5500000,5500000,11000000,50%
BE,Belgium,2014BE05SFOP001,1.3,German Speaking Community of Belgium - ESF,ESF,3,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",Transition,VOID,VOID,VOID,VOID,1760000,1760000,3520000,50%
BE,Belgium,2014BE05SFOP001,1.3,German Speaking Community of Belgium - ESF,ESF,4,TA,Technical Assistance,Technical Assistance,Transition,VOID,VOID,VOID,VOID,440000,440000,880000,50%
BE,Belgium,2014BE05SFOP002,3.1,Flanders - ESF,ESF,1,8,Sustainable & Quality Employment,Promoting sustainable and quality employment and supporting labour mobility,More developed,VOID,VOID,VOID,VOID,162325134,243487700,405812834,40%
BE,Belgium,2014BE05SFOP002,3.1,Flanders - ESF,ESF,2,10,Educational & Vocational Training,"Investing in education, training and vocational training for skills and lifelong learning",More developed,VOID,VOID,VOID,VOID,67114353,134910677,202025030,33.22%
